source_unique_key,trade_id,order_id,symbol,trade_type,quantity,price,order_execution_time,trade_date,exchange,segment,source_file,source_row_number,duplicate_group_size,all_rows_identical
zerodha|OMK569|686255,686255,2200000134742355,MUTHOOTFIN24DECFUT,buy,275.000000,1960.900000,2024-12-06T13:13:52,2024-12-06,NSE,FO,tradebook-OMK569-FO 24-25.csv,1587,2,NO
zerodha|OMK569|686255,686255,2400000139327835,BSE26FEB2800CE,buy,375.000000,6.750000,2026-02-23T11:25:01,2026-02-23,NSE,FO,tradebook-OMK569-FO 25-25.csv,8189,2,NO
zerodha|OMK569|686256,686256,2200000134742355,MUTHOOTFIN24DECFUT,buy,275.000000,1960.950000,2024-12-06T13:13:52,2024-12-06,NSE,FO,tradebook-OMK569-FO 24-25.csv,1588,2,NO
zerodha|OMK569|686256,686256,2400000139327835,BSE26FEB2800CE,buy,375.000000,6.750000,2026-02-23T11:25:01,2026-02-23,NSE,FO,tradebook-OMK569-FO 25-25.csv,8188,2,NO
zerodha|OMK569|686257,686257,2200000134742355,MUTHOOTFIN24DECFUT,buy,275.000000,1961.250000,2024-12-06T13:13:52,2024-12-06,NSE,FO,tradebook-OMK569-FO 24-25.csv,1589,2,NO
zerodha|OMK569|686257,686257,2400000139327835,BSE26FEB2800CE,buy,375.000000,6.800000,2026-02-23T11:25:01,2026-02-23,NSE,FO,tradebook-OMK569-FO 25-25.csv,8190,2,NO
zerodha|OMK569|503639,503639,2400000068932652,HAL25JANFUT,buy,150.000000,4227.450000,2024-12-26T11:19:44,2024-12-26,NSE,FO,tradebook-OMK569-FO 24-25.csv,1790,2,NO
zerodha|OMK569|503639,503639,2100000088657970,LAURUSLABS25MAY600CE,sell,1700.000000,12.000000,2025-05-21T11:55:55,2025-05-21,NSE,FO,tradebook-OMK569-FO 25-25.csv,1009,2,NO
zerodha|OMK569|503640,503640,2400000068932652,HAL25JANFUT,buy,150.000000,4227.450000,2024-12-26T11:19:44,2024-12-26,NSE,FO,tradebook-OMK569-FO 24-25.csv,1791,2,NO
zerodha|OMK569|503640,503640,2100000088657970,LAURUSLABS25MAY600CE,sell,1700.000000,12.000000,2025-05-21T11:55:55,2025-05-21,NSE,FO,tradebook-OMK569-FO 25-25.csv,1002,2,NO
zerodha|OMK569|213076,213076,2300000022446605,CIPLA25FEBFUT,sell,325.000000,1455.300000,2025-02-27T09:43:59,2025-02-27,NSE,FO,tradebook-OMK569-FO 24-25.csv,2057,2,NO
zerodha|OMK569|213076,213076,1900000039435469,HEROMOTOCO25NOVFUT,sell,150.000000,5874.000000,2025-11-18T10:07:12,2025-11-18,NSE,FO,tradebook-OMK569-FO 25-25.csv,5650,2,NO
zerodha|OMK569|213075,213075,2300000022446605,CIPLA25FEBFUT,sell,325.000000,1455.850000,2025-02-27T09:43:59,2025-02-27,NSE,FO,tradebook-OMK569-FO 24-25.csv,2058,2,NO
zerodha|OMK569|213075,213075,1900000039435469,HEROMOTOCO25NOVFUT,sell,150.000000,5874.000000,2025-11-18T10:07:12,2025-11-18,NSE,FO,tradebook-OMK569-FO 25-25.csv,5651,2,NO
zerodha|OMK569|226416,226416,2400000030238461,BAJAJ-AUTO25MAYFUT,buy,75.000000,8346.500000,2025-04-24T09:52:14,2025-04-24,NSE,FO,tradebook-OMK569-FO 25-25.csv,460,2,NO
